region,place_name,place_type,rating,reviews,price,delivery_option,dine_in_option,takeout_option
C,Dim Kavu,Others,4.6,206,$$,FALSE,,
C,Коферум,Cafe,5.0,24,$$,FALSE,,TRUE
C,Кофейня Світ Чаю,Coffee shop,5.0,11,$$,FALSE,,TRUE
C,Кофейня Starcoff,Coffee shop,4.4,331,$$,FALSE,TRUE,TRUE
C,"Кофейня ""Friend Zone""",Coffee shop,5.0,12,$$,FALSE,TRUE,TRUE
C,Racers Coffee Shop,Espresso bar,4.6,367,$$,FALSE,TRUE,TRUE
C,Займемся Кофе,Coffee shop,4.6,200,$$,FALSE,TRUE,TRUE
C,Кофейня Rit Rit,Coffee shop,4.6,292,$$,FALSE,,TRUE
C,Кав'ярня My coffee,Coffee shop,4.8,31,$$,FALSE,TRUE,TRUE
C,LENЬ. Coffee & desserts.,Coffee shop,4.8,125,$$,TRUE,TRUE,TRUE
C,SOVA COFFEE,Coffee shop,4.8,112,$$,FALSE,TRUE,TRUE
C,Кава Тайм,Coffee shop,4.9,14,$$,FALSE,,TRUE
C,Skver кафе,Cafe,4.9,18,$$,FALSE,TRUE,TRUE
C,Кафе на Георгіївській,Cafe,4.5,806,$,FALSE,TRUE,TRUE
C,Khosper,Cafe,4.2,609,$$,FALSE,TRUE,TRUE
C,Lekontina Шоколадна Майстерня,Cafe,4.7,172,$$,TRUE,TRUE,TRUE
C,Lecker,Cafe,4.8,234,$$,TRUE,TRUE,TRUE
C,Veterano Coffee,Coffee shop,4.5,136,$$,FALSE,,TRUE
C,VEIN,Cafe,4.5,166,$$,TRUE,TRUE,TRUE
C,Coffee Drive,Coffee shop,4.8,10,$$,FALSE,TRUE,TRUE
J,G COFFEE,Coffee shop,4.5,1596,$$,TRUE,TRUE,
J,Kavun,Coffee shop,4.7,1785,$$,TRUE,TRUE,
J,Buns Brew Bar,Coffee shop,4.7,459,$$,FALSE,,TRUE
J,Coffee House,Cafe,4.7,329,$$,FALSE,,TRUE
J,"""Точка кофе""",Espresso bar,4.9,14,$$,FALSE,,TRUE
J,Your Coffee,Cafe,4.7,569,$$,FALSE,TRUE,
J,KOFEiN,Cafe,4.4,860,$$$,FALSE,TRUE,TRUE
J,"Perfect Coffee, КАВ'ЯРНЯ",Espresso bar,4.8,124,$$,FALSE,TRUE,TRUE
J,Misceva kavyarnya,Coffee shop,4.5,898,$$,FALSE,TRUE,TRUE
J,Dzhi,Cafe,4.5,1195,$$,TRUE,TRUE,TRUE
J,Gangster coffee shop,Others,4.7,347,$$,TRUE,,
J,Crema Caffe Poltava,Coffee shop,4.3,12,$$,FALSE,,TRUE
J,COFFBOY,Coffee shop,4.7,112,$$,FALSE,TRUE,TRUE
J,Wake Up Coffee,Coffee shop,4.9,17,$$,FALSE,,TRUE
J,Lviv Handmade Chocolate,Others,4.6,1376,$$,FALSE,TRUE,TRUE
J,"ПЕРША ДЕГУСТАЦІЙНА ЗАЛА КАВИ ""GANGSTER_COFFEE SHOP 3""",Others,5.0,37,$$,FALSE,,
J,Aroma kava,Cafe,4.4,226,$$,FALSE,TRUE,TRUE
J,Koffishka,Coffee shop,4.1,716,$$,FALSE,TRUE,TRUE
J,ЗАКУТОК - coffee hookah point,Coffee shop,5.0,15,$$,FALSE,,
J,CoffeePot,Coffee shop,5.0,18,$$,FALSE,TRUE,
F,Coffee 66,Cafe,5.0,15,$$,FALSE,,TRUE
F,Godshot Coffee,Cafe,4.7,726,$$,FALSE,TRUE,TRUE
F,Verona,Others,4.5,1345,$$,TRUE,TRUE,
